2544,366,306,1290
2617,8,0,3
2738,7,5,7
101108,148,294,468
200752,116,35,169
200768,190,232,528
200782,194,41,154
201142,262,207,1158
201143,258,111,387
201144,106,319,451
201145,77,37,227
201152,141,63,201
201565,40,46,152
201566,317,383,800
201567,280,76,347
201569,96,124,590
201572,328,63,733
201577,39,12,77
201580,72,8,121
201586,44,4,66
201587,223,77,326
201588,67,89,175
201599,157,30,152
201609,65,134,315
201933,69,23,84
201935,222,381,744
201937,26,33,56
201939,241,244,1119
201942,239,247,1276
201949,16,7,26
201950,219,299,802
201959,63,26,115
201976,139,113,281
201980,4,1,3
201988,31,43,199
202066,11,9,39
202083,70,19,113
202322,92,178,386
202330,124,99,381
202331,240,205,909
202397,18,37,55
202681,204,211,1084
202685,525,90,787
202687,176,41,166
202689,16,19,72
202691,163,98,852
202692,127,91,551
202693,59,25,96
202694,214,88,625
202695,187,119,661
202696,580,176,921
202699,285,127,757
202704,112,178,547
202709,48,117,167
202710,234,191,855
202711,184,134,1092
202722,32,12,141
203076,361,77,814
203078,108,157,694
203081,166,298,1267
203082,85,54,334
203083,258,24,245
203084,244,85,784
203085,77,68,235
203095,44,34,140
203110,352,324,382
203114,46,55,180
203115,104,95,286
203200,23,25,126
203210,137,29,211
203457,36,7,32
203458,15,4,13
203468,210,282,1020
203471,108,163,484
203473,109,16,171
203476,48,27,57
203482,209,137,485
203484,150,112,581
203486,525,198,665
203488,128,33,249
203490,19,8,44
203493,181,64,334
203496,130,43,189
203497,524,40,604
203500,485,97,361
203501,176,79,685
203506,90,101,290
203507,521,222,1361
203521,7,25,26
203526,31,46,102
203552,77,81,414
203585,27,14,65
203648,22,4,11
203897,230,203,1135
203903,209,225,1113
203914,51,29,229
203915,163,279,940
203920,25,7,43
203924,223,122,1063
203925,122,72,375
203926,105,66,466
203932,320,129,787
203933,69,29,222
203935,140,294,457
203937,208,179,366
203939,196,36,323
203943,48,7,25
203944,586,224,1335
203952,161,72,556
203954,392,162,1306
203967,141,57,215
203991,436,29,457
203992,101,92,435
203994,425,130,619
203999,519,465,1141
204001,381,110,992
204060,49,69,134
204456,145,258,387
1626145,117,242,540
1626149,135,31,277
1626153,71,79,144
1626156,162,321,939
1626157,172,111,436
1626158,69,5,105
1626159,145,98,196
1626162,179,42,706
1626163,36,21,71
1626164,134,161,786
1626166,64,148,340
1626167,361,62,785
1626168,165,37,324
1626169,76,62,155
1626171,473,85,678
1626172,454,137,361
1626174,354,71,771
1626179,193,216,956
1626181,140,78,773
1626192,183,45,321
1626195,119,23,182
1626196,112,131,456
1626204,263,84,350
1626220,243,195,462
1626224,113,77,484
1626246,26,4,47
1627732,241,237,273
1627734,608,345,919
1627736,190,92,727
1627741,270,151,942
1627742,105,99,424
1627745,55,4,55
1627747,191,186,611
1627749,267,306,1038
1627750,186,261,910
1627751,400,134,530
1627752,73,42,264
1627759,334,152,1267
1627763,192,165,646
1627777,121,60,451
1627780,35,21,50
1627783,351,272,1092
1627788,29,18,95
1627814,180,81,497
1627823,120,24,122
1627826,554,55,545
1627827,188,59,365
1627832,202,294,892
1627853,4,2,3
1627854,13,15,73
1627863,64,25,162
1627884,105,27,228
1627936,135,147,257
1628365,120,177,395
1628368,200,289,1140
1628369,434,221,1544
1628370,129,197,665
1628371,14,3,31
1628372,89,145,251
1628373,41,36,84
1628374,427,85,1221
1628378,170,213,1192
1628379,83,37,271
1628380,244,104,403
